Prediction,Ground Truth,DSC,Jaccard,Hausdorff,Mean Surface Distance,Total Time (s)
preds/unet_e10_b10_nf16_non_augmented___2021-10-04___22-36-16/0.nii.gz,/mnt/raid/julie/nipuna_TrainingData64/80/80_thresh.nii.gz,0.15761152900871378,0.08554739214358623,30.870698080866262,16.170682992017998,29.590142488479614
preds/unet_e10_b10_nf16_non_augmented___2021-10-04___22-36-16/1.nii.gz,/mnt/raid/julie/nipuna_TrainingData64/81/81_thresh.nii.gz,0.5431600075268143,0.3728343608996659,21.863211109075447,8.78912031686553,29.590142488479614
preds/unet_e10_b10_nf16_non_augmented___2021-10-04___22-36-16/2.nii.gz,/mnt/raid/julie/nipuna_TrainingData64/82/82_thresh.nii.gz,0.3784344708851206,0.2333759962766886,20.248456731316587,9.397986776354669,29.590142488479614
preds/unet_e10_b10_nf16_non_augmented___2021-10-04___22-36-16/3.nii.gz,/mnt/raid/julie/nipuna_TrainingData64/83/83_thresh.nii.gz,0.528690486658655,0.3593332890630188,24.1039415863879,8.915117648934181,29.590142488479614
preds/unet_e10_b10_nf16_non_augmented___2021-10-04___22-36-16/4.nii.gz,/mnt/raid/julie/nipuna_TrainingData64/84/84_thresh.nii.gz,0.27636024227175426,0.160335267872909,27.0,12.278941002441652,29.590142488479614
preds/unet_e10_b10_nf16_non_augmented___2021-10-04___22-36-16/5.nii.gz,/mnt/raid/julie/nipuna_TrainingData64/85/85_thresh.nii.gz,0.6263624602848094,0.45598816439937934,15.066519173319364,7.205394926773254,29.590142488479614
preds/unet_e10_b10_nf16_non_augmented___2021-10-04___22-36-16/6.nii.gz,/mnt/raid/julie/nipuna_TrainingData64/86/86_thresh.nii.gz,0.2142286929235925,0.11996423734364903,25.317977802344327,14.580917454438593,29.590142488479614
preds/unet_e10_b10_nf16_non_augmented___2021-10-04___22-36-16/7.nii.gz,/mnt/raid/julie/nipuna_TrainingData64/87/87_thresh.nii.gz,0.4966389997420451,0.33035245669990715,16.0312195418814,7.064248207121707,29.590142488479614
preds/unet_e10_b10_nf16_non_augmented___2021-10-04___22-36-16/8.nii.gz,/mnt/raid/julie/nipuna_TrainingData64/88/88_thresh.nii.gz,0.4472973821332161,0.28807665871507704,19.672315572906,9.435358558102003,29.590142488479614
preds/unet_e10_b10_nf16_non_augmented___2021-10-04___22-36-16/9.nii.gz,/mnt/raid/julie/nipuna_TrainingData64/89/89_thresh.nii.gz,0.40049228552560484,0.2503847164358368,30.430248109405877,10.35408635234497,29.590142488479614
preds/unet_e10_b10_nf16_non_augmented___2021-10-04___22-36-16/10.nii.gz,/mnt/raid/julie/nipuna_TrainingData64/90/90_thresh.nii.gz,0.5666026979736976,0.3952865665176901,31.080540535840107,8.545055992420645,29.590142488479614
preds/unet_e10_b10_nf16_non_augmented___2021-10-04___22-36-16/11.nii.gz,/mnt/raid/julie/nipuna_TrainingData64/91/91_thresh.nii.gz,0.27042085364640334,0.1563506672802577,30.56141357987225,14.308020215467247,29.590142488479614
preds/unet_e10_b10_nf16_non_augmented___2021-10-04___22-36-16/12.nii.gz,/mnt/raid/julie/nipuna_TrainingData64/92/92_thresh.nii.gz,0.2836210293162384,0.1652438267775158,34.77067730142742,13.812935723175022,29.590142488479614
preds/unet_e10_b10_nf16_non_augmented___2021-10-04___22-36-16/13.nii.gz,/mnt/raid/julie/nipuna_TrainingData64/93/93_thresh.nii.gz,0.4890951045827854,0.32371005353565213,16.76305461424021,7.6003543848052235,29.590142488479614
preds/unet_e10_b10_nf16_non_augmented___2021-10-04___22-36-16/14.nii.gz,/mnt/raid/julie/nipuna_TrainingData64/94/94_thresh.nii.gz,0.3124909796330727,0.18517884992705136,28.035691537752374,12.493645447370264,29.590142488479614
preds/unet_e10_b10_nf16_non_augmented___2021-10-04___22-36-16/15.nii.gz,/mnt/raid/julie/nipuna_TrainingData64/95/95_thresh.nii.gz,0.5907782970005294,0.4192231043157241,25.573423705088842,8.145084840817383,29.590142488479614
preds/unet_e10_b10_nf16_non_augmented___2021-10-04___22-36-16/16.nii.gz,/mnt/raid/julie/nipuna_TrainingData64/96/96_thresh.nii.gz,0.5499428193090165,0.3792559539251803,22.0,8.093358076816168,29.590142488479614
preds/unet_e10_b10_nf16_non_augmented___2021-10-04___22-36-16/17.nii.gz,/mnt/raid/julie/nipuna_TrainingData64/97/97_thresh.nii.gz,0.5647299202110463,0.39346596028399466,17.46424919657298,6.226587775197322,29.590142488479614
preds/unet_e10_b10_nf16_non_augmented___2021-10-04___22-36-16/18.nii.gz,/mnt/raid/julie/nipuna_TrainingData64/98/98_thresh.nii.gz,0.17826507475939052,0.09785456286174334,35.90264614203248,17.47010608307784,29.590142488479614
preds/unet_e10_b10_nf16_non_augmented___2021-10-04___22-36-16/19.nii.gz,/mnt/raid/julie/nipuna_TrainingData64/99/99_thresh.nii.gz,0.5474481079934347,0.3768871260338837,19.72308292331602,8.743443238559697,29.590142488479614
